  15048   2827   4230  7991 
   217    91   1   1     5
   218    91   1   1     5
   219    91   1   1     5
   220    91   1   1     5
   221    91   1   1     5
   222    91   1   1     5
   223    91   1   1     5
   224    91   1   1     5
   225    91   1   1     5
   226    91   1   1     5
   215    92   1   1     5
   228    92   1   1     5
   213    93   1   1     5
   214    93   1   1     5
   215    93   1   1     5
   228    93   1   1     5
   229    93   1   1     5
   230    93   1   1     5
   210    94   1   1     5
   232    94   1   1     5
   208    95   1   1     5
   209    95   1   1     5
   210    95   1   1     5
   211    95   1   1     5
   232    95   1   1     5
   233    95   1   1     5
   234    95   1   1     5
   235    95   1   1     5
   207    96   1   1     5
   236    96   1   1     5
   205    97   1   1     5
   206    97   1   1     5
   207    97   1   1     5
   236    97   1   1     5
   237    97   1   1     5
   238    97   1   1     5
   203    98   1   1     5
   240    98   1   1     5
   202    99   1   1     5
   203    99   1   1     5
   240    99   1   1     5
   241    99   1   1     5
   250    99   1   1     5
   133   100   1   1     5
   244   100   1   1     5
   131   101   1   1     5
   132   101   1   1     5
   133   101   1   1     5
   136   101   1   1     5
   137   101   1   1     5
   199   101   1   1     5
   244   101   1   1     5
   245   101   1   1     5
   246   101   1   1     5
   247   101   1   1     5
   248   101   1   1     5
   129   102   1   1     5
   194   102   1   1     5
   250   102   1   1     5
   261   102   1   1     5
   262   102   1   1     5
   120   103   1   1     5
   121   103   1   1     5
   128   103   1   1     5
   129   103   1   1     5
   140   103   1   1     5
   192   103   1   1     5
   193   103   1   1     5
   194   103   1   1     5
   195   103   1   1     5
   197   103   1   1     5
   250   103   1   1     5
   251   103   1   1     5
   252   103   1   1     5
   253   103   1   1     5
   254   103   1   1     5
   255   103   1   1     5
   256   103   1   1     5
   257   103   1   1     5
   258   103   1   1     5
   259   103   1   1     5
   260   103   1   1     5
   261   103   1   1     5
   262   103   1   1     5
   263   103   1   1     5
   264   103   1   1     5
   265   103   1   1     5
   266   103   1   1     5
   267   103   1   1     5
   119   104   1   1     5
   121   104   1   1     5
   124   104   1   1     5
   125   104   1   1     5
   142   104   1   1     5
   270   104   1   1     5
   119   105   1   1     5
   120   105   1   1     5
   121   105   1   1     5
   124   105   1   1     5
   127   105   1   1     5
   142   105   1   1     5
   143   105   1   1     5
   146   105   1   1     5
   270   105   1   1     5
   271   105   1   1     5
   272   105   1   1     5
   122   106   1   1     5
   123   106   1   1     5
   127   106   1   1     5
   122   107   1   1     5
   126   107   1   1     5
   127   107   1   1     5
   150   107   1   1     5
   151   107   1   1     5
   166   107   1   1     5
   167   107   1   1     5
   170   107   1   1     5
   186   107   1   1     5
   187   107   1   1     5
   274   107   1   1     5
   275   107   1   1     5
   354   107   1   1     5
   106   108   1   1     5
   108   108   1   1     5
   109   108   1   1     5
   110   108   1   1     5
   112   108   1   1     5
   119   108   1   1     5
   125   108   1   1     5
   152   108   1   1     5
   165   108   1   1     5
   174   108   1   1     5
   184   108   1   1     5
   276   108   1   1     5
   113   109   1   1     5
   114   109   1   1     5
   115   109   1   1     5
   116   109   1   1     5
   117   109   1   1     5
   118   109   1   1     5
   119   109   1   1     5
   124   109   1   1     5
   125   109   1   1     5
   152   109   1   1     5
   153   109   1   1     5
   154   109   1   1     5
   164   109   1   1     5
   165   109   1   1     5
   174   109   1   1     5
   175   109   1   1     5
   176   109   1   1     5
   181   109   1   1     5
   182   109   1   1     5
   183   109   1   1     5
   184   109   1   1     5
   185   109   1   1     5
   186   109   1   1     5
   187   109   1   1     5
   276   109   1   1     5
   277   109   1   1     5
   278   109   1   1     5
   294   109   1   1     5
   113   110   1   1     5
   114   110   1   1     5
   115   110   1   1     5
   116   110   1   1     5
   117   110   1   1     5
   118   110   1   1     5
   119   110   1   1     5
   154   110   1   1     5
   163   110   1   1     5
   178   110   1   1     5
   113   111   1   1     5
   114   111   1   1     5
   117   111   1   1     5
   118   111   1   1     5
   154   111   1   1     5
   162   111   1   1     5
   163   111   1   1     5
   178   111   1   1     5
   179   111   1   1     5
   280   111   1   1     5
   281   111   1   1     5
   120   112   1   1     5
   121   112   1   1     5
   122   112   1   1     5
   123   112   1   1     5
   124   112   1   1     5
   125   112   1   1     5
   154   112   1   1     5
   159   112   1   1     5
   282   112   1   1     5
   123   113   1   1     5
   124   113   1   1     5
   154   113   1   1     5
   156   113   1   1     5
   157   113   1   1     5
   159   113   1   1     5
   282   113   1   1     5
   283   113   1   1     5
   284   113   1   1     5
   285   113   1   1     5
   127   114   1   1     5
   284   114   1   1     5
   288   114   1   1     5
   127   115   1   1     5
   185   115   1   1     5
   284   115   1   1     6
   285   115   1   1     5
   288   115   1   1     5
   289   115   1   1     5
   290   115   1   1     5
   291   115   1   1     5
   127   116   1   1     5
   128   116   1   1     5
   129   116   1   1     5
   130   116   1   1     5
   131   116   1   1     5
   132   116   1   1     5
   133   116   1   1     5
   134   116   1   1     5
   135   116   1   1     5
   140   116   1   1     5
   141   116   1   1     5
   343   116   1   1     5
   129   117   1   1     5
   135   117   1   1     5
   141   117   1   1     5
   183   117   1   1     5
   294   117   1   1     5
   295   117   1   1     5
   296   117   1   1     5
   338   117   1   1     5
   339   117   1   1     5
   340   117   1   1     5
   341   117   1   1     5
   342   117   1   1     5
   343   117   1   1     5
   350   117   1   1     5
   351   117   1   1     5
   370   117   1   1     5
   371   117   1   1     5
   372   117   1   1     5
   146   118   1   1     5
   147   118   1   1     5
   148   118   1   1     5
   149   118   1   1     5
   154   118   1   1     5
   155   118   1   1     5
   354   118   1   1     5
   372   118   1   1     5
   149   119   1   1     5
   154   119   1   1     5
   300   119   1   1     5
   301   119   1   1     5
   302   119   1   1     5
   330   119   1   1     5
   331   119   1   1     5
   354   119   1   1     5
   355   119   1   1     5
   356   119   1   1     5
   357   119   1   1     5
   358   119   1   1     5
   359   119   1   1     5
   360   119   1   1     5
   361   119   1   1     5
   362   119   1   1     5
   363   119   1   1     5
   364   119   1   1     5
   365   119   1   1     5
   372   119   1   1     7
   373   119   1   1     5
   374   119   1   1     5
   375   119   1   1     5
   150   120   1   1     5
   151   120   1   1     5
   152   120   1   1     5
   157   120   1   1     5
   166   120   1   1     5
   167   120   1   1     5
   172   120   1   1     5
   175   120   1   1     5
   176   120   1   1     5
   172   121   1   1     5
   173   121   1   1     5
   174   121   1   1     5
   175   121   1   1     5
   177   121   1   1     5
   306   121   1   1     5
   307   121   1   1     5
   308   121   1   1     5
   327   121   1   1     5
   378   121   1   1     5
   169   122   1   1     5
   312   122   1   1     5
   325   122   1   1     5
   312   123   1   1     5
   313   123   1   1     5
   314   123   1   1     5
   323   123   1   1     5
   324   123   1   1     5
   325   123   1   1     5
   380   123   1   1     5
   381   123   1   1     5
   382   124   1   1     5
   129   125   1   1     5
   138   125   1   1     5
   139   125   1   1     5
   140   125   1   1     5
   382   125   1   1     5
   383   125   1   1     5
   177   126   1   1     5
   384   126   1   1     5
   124   127   1   1     5
   125   127   1   1     5
   144   127   1   1     5
   384   127   1   1     6
   385   127   1   1     5
   388   127   1   1     5
   123   128   1   1     5
   122   129   1   1     5
   123   129   1   1     5
   146   129   1   1     5
   390   129   1   1     5
   391   129   1   1     5
   163   130   1   1     5
   166   130   1   1     5
   177   130   1   1     5
   392   130   1   1     5
   119   131   1   1     5
   148   131   1   1     5
   162   131   1   1     5
   163   131   1   1     5
   166   131   1   1     5
   167   131   1   1     5
   168   131   1   1     5
   173   131   1   1     5
   174   131   1   1     5
   175   131   1   1     5
   176   131   1   1     5
   177   131   1   1     6
   392   131   1   1     6
   117   132   1   1     5
   148   132   1   1     5
   161   132   1   1     5
   396   132   1   1     5
   116   133   1   1     5
   117   133   1   1     5
   148   133   1   1     5
   157   133   1   1     5
   161   133   1   1     5
   396   133   1   1     6
   397   133   1   1     5
   115   134   1   1     5
   398   134   1   1     5
   114   135   1   1     5
   115   135   1   1     5
   159   135   1   1     5
   398   135   1   1     7
   399   135   1   1     5
   113   136   1   1     5
   157   136   1   1     5
   112   137   1   1     5
   113   137   1   1     5
   156   137   1   1     5
   157   137   1   1     5
   402   137   1   1     5
   111   138   1   1     5
   148   138   1   1     5
   149   138   1   1     5
   402   138   1   1     5
   110   139   1   1     5
   111   139   1   1     5
   148   139   1   1     5
   402   139   1   1     7
   403   139   1   1     5
   404   139   1   1     5
   155   140   1   1     5
   106   141   1   1     5
   109   141   1   1     5
   150   141   1   1     5
   154   141   1   1     5
   155   141   1   1     5
   406   141   1   1     5
   183   142   1   1     5
   408   143   1   1     5
   107   144   1   1     5
   174   144   1   1     5
   175   144   1   1     5
   106   145   1   1     5
   107   145   1   1     5
   410   145   1   1     5
   102   147   1   1     5
   103   147   1   1     5
   174   147   1   1     5
   412   147   1   1     5
   101   148   1   1     5
     6   149   1   1     5
    93   149   1   1     5
    94   149   1   1     5
    95   149   1   1     5
    96   149   1   1     5
    97   149   1   1     5
    98   149   1   1     5
    99   149   1   1     5
   100   149   1   1     5
   101   149   1   1     5
   179   149   1   1     5
   182   149   1   1     5
   183   149   1   1     5
   414   149   1   1     5
   415   149   1   1     5
     6   150   1   1     5
     7   150   1   1     5
    89   150   1   1     5
   418   150   1   1     5
     7   151   1   1     5
    10   151   1   1     5
    11   151   1   1     5
    12   151   1   1     5
    13   151   1   1     5
    86   151   1   1     5
    87   151   1   1     5
    88   151   1   1     5
    89   151   1   1     5
   418   151   1   1     5
   419   151   1   1     5
    12   152   1   1     5
    13   152   1   1     5
    14   152   1   1     5
    83   152   1   1     5
   152   152   1   1     5
   153   152   1   1     5
    14   153   1   1     5
    81   153   1   1     5
    82   153   1   1     5
    83   153   1   1     5
   422   153   1   1     5
    79   154   1   1     5
   152   154   1   1     5
   155   154   1   1     5
    13   155   1   1     5
    70   155   1   1     5
    71   155   1   1     5
    72   155   1   1     5
    73   155   1   1     5
    74   155   1   1     5
    75   155   1   1     5
    76   155   1   1     5
    77   155   1   1     5
    78   155   1   1     5
    79   155   1   1     5
   152   155   1   1     6
   424   155   1   1     5
    13   156   1   1     5
    70   156   1   1     5
    71   156   1   1     5
   152   156   1   1     5
   157   156   1   1     5
    14   157   1   1     5
    71   157   1   1     5
   426   157   1   1     5
    14   158   1   1     5
    15   158   1   1     5
   152   158   1   1     6
   158   158   1   1     5
   159   158   1   1     5
    16   159   1   1     5
    17   159   1   1     5
    71   159   1   1     5
   152   159   1   1     9
   153   159   1   1     5
   155   159   1   1     5
   156   159   1   1     5
   157   159   1   1     5
   158   159   1   1     5
   428   159   1   1     5
    17   160   1   1     5
    18   160   1   1     5
    69   160   1   1     5
   158   160   1   1     5
   161   160   1   1     5
    19   161   1   1     5
    68   161   1   1     5
    69   161   1   1     5
   158   161   1   1     8
   159   161   1   1     5
   161   161   1   1     5
   430   161   1   1     5
    20   162   1   1     5
    21   162   1   1     5
   158   162   1   1     8
   159   162   1   1     8
   430   162   1   1     5
   434   162   1   1     5
   435   162   1   1     5
    21   163   1   1     5
    65   163   1   1     5
   159   163   1   1     5
   430   163   1   1     5
   431   163   1   1     5
   434   163   1   1     5
    21   164   1   1     5
    22   164   1   1     5
    59   164   1   1     5
   156   164   1   1     6
   159   164   1   1     5
    23   165   1   1     5
    59   165   1   1     5
   156   165   1   1     5
   159   165   1   1     5
   434   165   1   1     5
    23   166   1   1     5
    24   166   1   1     5
    59   166   1   1     5
    24   167   1   1     5
    25   167   1   1     5
    26   167   1   1     5
    43   167   1   1     5
    44   167   1   1     5
    45   167   1   1     5
    46   167   1   1     5
    47   167   1   1     5
    48   167   1   1     5
    49   167   1   1     5
    59   167   1   1     5
   156   167   1   1     5
   436   167   1   1     5
    25   168   1   1     5
    28   169   1   1     5
    31   169   1   1     5
    32   169   1   1     5
    33   169   1   1     5
    52   169   1   1     5
    57   169   1   1     5
   438   169   1   1     5
   439   169   1   1     5
    25   170   1   1     5
    28   170   1   1     5
    29   170   1   1     5
    35   170   1   1     5
    52   170   1   1     5
    55   170   1   1     5
   440   170   1   1     5
    25   171   1   1     5
    29   171   1   1     5
    52   171   1   1     5
    54   171   1   1     5
    55   171   1   1     5
   440   171   1   1     5
   441   171   1   1     5
    25   172   1   1     5
    28   172   1   1     5
    35   172   1   1     5
   154   172   1   1     5
   155   172   1   1     5
    22   173   1   1     5
    28   173   1   1     5
    29   173   1   1     5
    34   173   1   1     5
    35   173   1   1     5
   444   173   1   1     5
    23   174   1   1     5
    26   174   1   1     5
    27   174   1   1     5
    23   175   1   1     5
    27   175   1   1     5
   154   175   1   1     5
   446   175   1   1     5
   447   175   1   1     5
    24   176   1   1     5
    25   176   1   1     5
    26   176   1   1     5
    27   176   1   1     5
    28   176   1   1     5
    29   176   1   1     5
   448   176   1   1     5
   450   176   1   1     5
   451   176   1   1     5
    26   177   1   1     5
    29   177   1   1     5
   448   177   1   1     5
   449   177   1   1     5
   450   177   1   1     5
    26   178   1   1     5
    27   178   1   1     5
    29   178   1   1     5
   184   178   1   1     5
   185   178   1   1     5
   186   178   1   1     5
   187   178   1   1     5
    27   179   1   1     5
    28   179   1   1     5
    29   179   1   1     5
   184   179   1   1     5
   187   179   1   1     5
   452   179   1   1     5
   453   179   1   1     5
    25   180   1   1     5
    98   180   1   1     5
   182   180   1   1     5
   183   180   1   1     5
   188   180   1   1     5
   189   180   1   1     5
   190   180   1   1     5
   191   180   1   1     5
   192   180   1   1     5
   193   180   1   1     5
   454   180   1   1     5
    25   181   1   1     5
    98   181   1   1     7
    99   181   1   1     6
   182   181   1   1     5
   189   181   1   1     5
   190   181   1   1     5
   454   181   1   1     5
   455   181   1   1     5
   456   181   1   1     5
   457   181   1   1     5
    25   182   1   1     5
   182   182   1   1     5
   458   182   1   1     5
    25   183   1   1     5
   182   183   1   1     5
   458   183   1   1     5
   459   183   1   1     5
   460   183   1   1     5
    25   184   1   1     5
    26   184   1   1     5
    27   184   1   1     5
    28   184   1   1     5
    29   184   1   1     5
    30   184   1   1     5
    31   184   1   1     5
   182   184   1   1     5
    26   185   1   1     5
   182   185   1   1     5
   462   185   1   1     5
   464   185   1   1     5
   465   185   1   1     5
   466   185   1   1     5
   467   185   1   1     5
   468   185   1   1     5
   469   185   1   1     5
   182   186   1   1     5
   195   186   1   1     5
   472   186   1   1     5
   182   187   1   1     5
   195   187   1   1     5
   472   187   1   1     5
   473   187   1   1     5
   474   187   1   1     5
    31   188   1   1     5
   182   188   1   1     5
   195   188   1   1     5
   476   188   1   1     5
    31   189   1   1     5
   182   189   1   1     5
   195   189   1   1     5
   476   189   1   1     5
   477   189   1   1     5
   478   189   1   1     5
    31   190   1   1     5
   182   190   1   1     5
   195   190   1   1     5
   480   190   1   1     5
   182   191   1   1     5
   195   191   1   1     5
   480   191   1   1     5
   481   191   1   1     5
    31   192   1   1     5
   182   192   1   1     5
   484   192   1   1     5
   182   193   1   1     5
   484   193   1   1     5
   485   193   1   1     5
   182   194   1   1     5
   195   194   1   1     5
   182   195   1   1     5
   183   195   1   1     5
   195   195   1   1     5
   488   195   1   1     5
   489   195   1   1     5
   492   197   1   1     5
   493   197   1   1     5
    32   198   1   1     5
    33   198   1   1     5
   185   198   1   1     5
   188   198   1   1     5
    33   199   1   1     5
   184   199   1   1     5
   185   199   1   1     5
   188   199   1   1     5
   189   199   1   1     5
   496   199   1   1     5
   497   199   1   1     5
    35   200   1   1     5
    36   200   1   1     5
    37   200   1   1     5
   190   200   1   1     5
   500   200   1   1     5
   190   201   1   1     5
   191   201   1   1     5
   500   201   1   1     5
   501   201   1   1     5
   502   201   1   1     5
   503   201   1   1     5
    38   202   1   1     5
    39   202   1   1     5
   193   202   1   1     5
    39   203   1   1     5
   192   203   1   1     5
   193   203   1   1     5
