$
$ Global output point data file for multi-grid wave model
$
$ Key to data in file:
$
$   LON      Longitude, east positive
$   LAT      Latitude
$   NAME     Output point name C*10, no blanks in name allowed
$   AH       Anemometer height, dummy value for none-data points
$   TYPE     Buoy type indicator, used for plotting and postprocessing
$             DAT      Data point
$             NBY      'Non-NWS Virtual buoy'
$   SOURCE   Source of data point
$             ENCAN    Environment Canada
$             GOMOOS   Gulf of Maine OOS
$             IDT      Irish Department of Transportation
$             METFR    Meteo France
$             NCEP     Boundary and other data points
$             NDBC     National Data Buoy Center
$             PRIV     Private and incidental data sources
$             SCRIPPS  Scripps
$             UKMO     UK Met Office
$             PDES     Puertos del Estados
$             SHOM     Service Hydrographique et Oceanographique de la Marine
$             OCNOR    Fugro Oceanor
$             WHOI     Woods Hole Oceanographic Institute
$             SKOREA   South Korea
$             MVEW     Ministerie van Verkeer en Waterstaat
$             CORMP    Coastal Ocean Research and Monitoring Program
$             DIMAR    Direccion General Maritima (Columbia)
$             BP       British Petroleum
$   SCALE    Scale indicator for plotting of locations on map
$            Point will only be plotted if SCALE =< DX in our
$            GrADS scripts, DX is width of plot in logitude
$
$ Notes:
$
$  - The '$' at the first position identifies comments for WAVEWATCH III
$    input.
$  - The first three data columns are used by the forecats code, the other
$    are used by postprocessing scripts.
$
$   LON     LAT     NAME          AH   TYPE  SOURCE  SCALE
$ ---------------------------------------------------------
$
$ AWIPS Data section (most actual observational sites)
$ AWIPS code indicated prior and after each AWIPS section
$
$AGGA48
$ Gulf of Alaska (AG) Spectral data (4) near S/SW Alaska Anchorage (8) 
  -148.02   56.31  '46001     '   5.0   DAT  NDBC     360
  -154.98   52.70  '46066     '   5.0   DAT  NDBC     360
  -146.83   60.22  '46061     '   5.0   DAT  NDBC      90
  -160.81   53.93  '46075     '   5.0   DAT  NDBC     360
  -148.00   59.50  '46076     '   5.0   DAT  NDBC     360
  -152.45   56.05  '46078     '   5.0   DAT  NDBC     360
  -152.09   59.76  '46106     '   999   DAT  NDBC     75
  -150.00   58.00  '46080     '   5.0   DAT  NDBC     360
  -151.829  59.597 '46108     '   5.0   DAT  NDBC      45
  -160.000  57.700 '46021     ' 999.0   DAT  NDBC      45
  -146.805  60.584 '46060     '   5.0   DAT  NDBC      45
  -154.175  57.910 '46077     '   5.0   DAT  NDBC      45
  -152.230  59.050 '46079     '   4.9   DAT  NDBC      45
  -152.233  59.049 '46105     '   2.0   DAT  NDBC      45
  -147.992  59.925 '46107     '   2.0   DAT  NDBC      45
  -165.446  64.489 '46265     '   2.0   DAT  NDBC      45
$AGGA48
$
$AGGA47
$ Gulf of Alaska (AG) Spectral data (4) near Alaska Panhandle and NBC (7)
  -136.10   50.93  '46004     '   5.0   DAT  ENCAN    360
  -138.85   53.91  '46184     '   5.0   DAT  ENCAN    360
  -143.42   59.69  '46082     '   5.0   DAT  NDBC     360
  -138.00   58.25  '46083     '   5.0   DAT  NDBC     360
  -136.16   56.59  '46084     '   5.0   DAT  NDBC     360
  -142.56   56.85  '46085     '   5.0   DAT  NDBC     360
  -134.28   54.16  '46205     '   5.0   DAT  ENCAN     45
  -132.45   54.38  '46145     '   5.0   DAT  ENCAN     45
  -131.22   51.83  '46147     '   5.0   DAT  ENCAN     90
  -131.10   53.62  '46183     '   5.0   DAT  ENCAN     45
  -129.81   52.42  '46185     '   5.0   DAT  ENCAN     45
  -128.75   51.37  '46204     '   5.0   DAT  ENCAN     45
  -129.92   50.87  '46207     '   5.0   DAT  ENCAN     45
  -132.68   52.52  '46208     '   5.0   DAT  ENCAN     45
  -129.795  52.437 '46138     ' 999.0   DAT  NDBC      45
$AGGA47
$
$AGPZ46
$ Eastern Pacific (PZ) spectral data (4) near Pacific states and SBC (6)
  -130.27   42.60  '46002     '   5.0   DAT  NDBC     360
  -137.48   40.80  '46006     '   5.0   DAT  NDBC     360
  -130.00   37.98  '46059     '   5.0   DAT  NDBC     360
  -120.87   34.88  '46011     '   5.0   DAT  NDBC      15
  -122.88   37.36  '46012     '   5.0   DAT  NDBC      45
  -123.32   38.23  '46013     '   5.0   DAT  NDBC      25
  -123.97   39.22  '46014     '   5.0   DAT  NDBC      45
  -124.54   40.78  '46022     '   5.0   DAT  NDBC      25
  -120.97   34.71  '46023     '  10.0   DAT  NDBC      45
  -122.82   37.75  '46026     '   5.0   DAT  NDBC      25
  -124.38   41.85  '46027     '   5.0   DAT  NDBC      45
  -124.85   42.75  '46015     '   5.0   DAT  NDBC      45
  -119.08   33.75  '46025     '   5.0   DAT  NDBC      45
  -121.89   35.74  '46028     '   5.0   DAT  NDBC      45
  -124.53   40.42  '46030     '   5.0   DAT  NDBC      15
  -122.42   36.75  '46042     '   5.0   DAT  NDBC      45
  -119.53   32.43  '46047     '   5.0   DAT  NDBC      45
  -124.53   44.62  '46050     '   5.0   DAT  NDBC      45
  -119.85   34.24  '46053     '   5.0   DAT  NDBC      45
  -120.45   34.27  '46054     '  10.0   DAT  NDBC      25
  -121.01   35.10  '46062     '   5.0   DAT  NDBC      45
  -120.70   34.27  '46063     '   5.0   DAT  NDBC      45
  -120.20   33.65  '46069     '   5.0   DAT  NDBC      45
  -118.00   32.50  '46086     '   5.0   DAT  NDBC      45
  -125.77   45.88  '46089     '   5.0   DAT  NDBC      45
  -124.74   40.29  '46213     '  999.   DAT  SCRIPPS   25
  -123.47   37.95  '46214     '  999.   DAT  SCRIPPS   45
  -119.80   34.33  '46216     '  999.   DAT  SCRIPPS   15
  -119.43   34.17  '46217     '  999.   DAT  SCRIPPS   15
  -120.78   34.45  '46218     '  999.   DAT  SCRIPPS   25
  -119.88   33.22  '46219     '  999.   DAT  SCRIPPS   45
  -118.63   33.85  '46221     '  999.   DAT  SCRIPPS   15
  -118.32   33.62  '46222     '  999.   DAT  SCRIPPS   15
  -117.77   33.46  '46223     '  999.   DAT  SCRIPPS   15
  -117.47   33.18  '46224     '  999.   DAT  SCRIPPS   15
  -117.39   32.93  '46225     '  999.   DAT  SCRIPPS   15
  -117.44   32.63  '46227     '  999.   DAT  SCRIPPS   15
  -124.55   43.77  '46229     '  999.   DAT  SCRIPPS   25
  -117.37   32.75  '46231     '  999.   DAT  SCRIPPS   15
  -117.421  32.530 '46232     '  999.   DAT  SCRIPPS   15
  -120.86   35.20  '46215     '  999.   DAT  SCRIPPS   45
  -121.95   36.76  '46236     '  999.   DAT  SCRIPPS   15
  -122.634  37.787 '46237     '  999.   DAT  SCRIPPS   15
  -119.47   33.40  '46238     '  999.   DAT  SCRIPPS   15
  -122.10   36.34  '46239     '  999.   DAT  SCRIPPS   15
  -121.91   36.62  '46240     '  999.   DAT  SCRIPPS   15
  -124.13   46.22  '46243     '  999.   DAT  SCRIPPS   45
  -124.36   40.89  '46244     '  999.   DAT  SCRIPPS   45
  -145.20   50.033 '46246     '  999.   DAT  SCRIPPS   45
  -124.67   46.13  '46248     '  999.   DAT  SCRIPPS   45
  -119.200  33.000 '46024     '  10.0   DAT  NDBC      45
  -121.899  36.835 '46091     '   4.0   DAT  NDBC      45
  -122.030  36.750 '46092     '   4.0   DAT  NDBC      45
  -122.410  36.690 '46093     '   4.0   DAT  NDBC      45
